"행정구역","2021년10월_총인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율"
"경상남도 함안군 (4873000000)","62,788","31,020","          2.02","31,954","30,834","          1.04"
"경상남도 창녕군 (4874000000)","60,102","32,309","          1.86","29,925","30,177","          0.99"
"경상남도 고성군 (4882000000)","50,634","26,331","          1.92","25,379","25,255","          1.00"
"경상남도 남해군 (4884000000)","42,372","22,804","          1.86","20,491","21,881","          0.94"
"경상남도 하동군 (4885000000)","43,572","23,757","          1.83","21,741","21,831","          1.00"
"경상남도 산청군 (4886000000)","34,416","19,577","          1.76","16,935","17,481","          0.97"
"경상남도 함양군 (4887000000)","38,475","20,913","          1.84","18,608","19,867","          0.94"
"경상남도 거창군 (4888000000)","61,242","30,627","          2.00","30,050","31,192","          0.96"
"경상남도 합천군 (4889000000)","43,029","24,190","          1.78","20,818","22,211","          0.94"
"제주특별자치도  (5000000000)","676,569","306,741","          2.21","339,195","337,374","          1.01"
"제주특별자치도 제주시 (5011000000)","493,225","219,542","          2.25","246,694","246,531","          1.00"
"제주특별자치도 서귀포시 (5013000000)","183,344","87,199","          2.10","92,501","90,843","          1.02"
